"日付け","終値","始値","高値","安値","前日比%"
"2010年11月12日","82.50","82.43","82.65","81.66","0.08%"
"2010年11月11日","82.43","82.23","82.60","82.04","0.25%"
"2010年11月10日","82.23","81.59","82.80","81.56","0.78%"
"2010年11月09日","81.59","81.11","81.97","80.54","0.59%"
"2010年11月08日","81.11","81.16","81.43","81.01","-0.20%"
"2010年11月05日","81.27","80.79","81.48","80.62","0.59%"
"2010年11月04日","80.79","81.07","81.22","80.59","-0.35%"
"2010年11月03日","81.07","80.68","81.57","80.61","0.49%"
"2010年11月02日","80.68","80.58","80.96","80.47","0.11%"
"2010年11月01日","80.58","80.36","81.14","80.33","0.25%"
"2010年10月29日","80.39","80.94","81.08","80.39","-0.68%"
"2010年10月28日","80.94","81.58","81.70","80.87","-0.79%"
"2010年10月27日","81.58","81.42","81.99","81.38","0.20%"
"2010年10月26日","81.42","80.81","81.65","80.62","0.74%"
"2010年10月25日","80.81","81.31","81.33","80.42","-0.67%"
"2010年10月22日","81.36","81.27","81.50","80.98","0.11%"
"2010年10月21日","81.27","81.11","81.82","80.92","0.20%"
"2010年10月20日","81.11","81.46","81.47","80.85","-0.43%"
"2010年10月19日","81.46","81.18","81.92","81.15","0.34%"
"2010年10月18日","81.18","81.32","81.41","81.13","-0.35%"
"2010年10月15日","81.47","81.59","81.62","80.89","-0.14%"
"2010年10月14日","81.59","81.72","81.73","80.89","-0.16%"
"2010年10月13日","81.72","81.80","82.00","81.71","-0.10%"
"2010年10月12日","81.80","82.32","82.32","81.67","-0.63%"
"2010年10月11日","82.32","81.83","82.34","81.83","0.50%"
"2010年10月08日","81.90","82.36","82.56","81.74","-0.56%"
"2010年10月07日","82.36","82.98","83.03","82.12","-0.74%"
"2010年10月06日","82.98","83.17","83.24","82.76","-0.23%"
"2010年10月05日","83.17","83.58","83.99","82.98","-0.50%"
"2010年10月04日","83.58","83.35","83.86","83.19","0.45%"
"2010年10月01日","83.21","83.51","83.56","83.16","-0.36%"
"2010年09月30日","83.51","83.77","83.80","83.17","-0.31%"
"2010年09月29日","83.77","83.94","84.09","83.50","-0.21%"
"2010年09月28日","83.94","84.27","84.34","83.70","-0.39%"
"2010年09月27日","84.27","84.33","84.37","84.12","0.07%"
"2010年09月24日","84.21","84.57","85.39","84.12","-0.42%"
"2010年09月23日","84.57","84.59","84.67","84.27","-0.03%"
