Date,Open,High,Low,Close
2012-04-23,81.58,81.66,80.97,81.17
2012-04-24,81.18,81.39,80.86,81.325
2012-04-25,81.32,81.69,81.09,81.32
2012-04-26,81.315,81.42,80.67,80.99
2012-04-27,80.98,81.4,80.22,80.27
2012-04-30,80.32,80.38,79.74,79.81
2012-05-01,79.82,80.29,79.65,80.09
2012-05-02,80.09,80.59,80.05,80.13
2012-05-03,80.12,80.54,80.11,80.18
2012-05-04,80.2,80.32,79.8,79.83
2012-05-07,79.74,79.98,79.64,79.89
2012-05-08,79.9,80.06,79.694,79.866
2012-05-09,79.867,79.922,79.416,79.613
2012-05-10,79.614,79.997,79.589,79.879
2012-05-11,79.878,79.974,79.724,79.927
2012-05-14,79.952,80.166,79.665,79.852
2012-05-15,79.841,80.314,79.795,80.228
2012-05-16,80.229,80.531,80.183,80.325
2012-05-17,80.324,80.375,79.121,79.308
2012-05-18,79.311,79.445,78.981,78.988
2012-05-21,79.198,79.429,79.089,79.278
2012-05-22,79.278,80.116,79.256,79.951
2012-05-23,79.95,80.044,79.186,79.431
2012-05-24,79.431,79.606,79.315,79.555
2012-05-25,79.557,79.793,79.473,79.65
2012-05-28,79.648,79.66,79.318,79.465
2012-05-29,79.464,79.618,79.352,79.51
2012-05-30,79.516,79.542,78.85,79.093
2012-05-31,79.089,79.102,78.21,78.37
2012-06-01,78.36,78.666,77.646,78.039
2012-06-04,78.091,78.414,77.97,78.323
2012-06-05,78.333,78.948,78.103,78.74
2012-06-06,78.739,79.26,78.596,79.238
2012-06-07,79.239,79.77,79.192,79.653
2012-06-08,79.65,79.736,79.099,79.471
2012-06-11,79.477,79.703,79.341,79.373
2012-06-12,79.371,79.673,79.151,79.552
2012-06-13,79.551,79.723,79.282,79.419
2012-06-14,79.423,79.458,79.145,79.392
2012-06-15,79.392,79.492,78.594,78.721
2012-06-18,78.917,79.283,78.843,79.099
2012-06-19,79.096,79.097,78.845,78.976
2012-06-20,78.974,79.673,78.785,79.458
2012-06-21,79.458,80.315,79.374,80.204
2012-06-22,80.205,80.55,79.995,80.4
2012-06-25,80.458,80.601,79.423,79.625
2012-06-26,79.625,79.765,79.215,79.487
2012-06-27,79.494,79.848,79.337,79.675
2012-06-28,79.675,79.738,79.206,79.405
2012-06-29,79.408,79.972,79.118,79.78
2012-07-02,79.912,79.959,79.294,79.503
2012-07-03,79.5,79.911,79.397,79.807
2012-07-04,79.818,79.87,79.577,79.859
2012-07-05,79.856,80.077,79.543,79.895
2012-07-06,79.893,79.994,79.473,79.655
2012-07-09,79.645,79.718,79.401,79.538
2012-07-10,79.538,79.57,79.187,79.378
2012-07-11,79.393,79.774,79.122,79.708
2012-07-12,79.699,79.931,79.164,79.266
2012-07-13,79.263,79.377,79.066,79.18
2012-07-16,79.23,79.23,78.676,78.845
2012-07-17,78.852,79.157,78.779,79.059
2012-07-18,79.059,79.139,78.745,78.796
2012-07-19,78.79,78.808,78.428,78.61
2012-07-20,78.615,78.787,78.438,78.48
2012-07-23,78.45,78.515,77.939,78.32
2012-07-24,78.318,78.361,78.086,78.155
2012-07-25,78.152,78.263,78.056,78.126
2012-07-26,78.135,78.297,78.002,78.2
2012-07-27,78.206,78.633,78.062,78.41
2012-07-30,78.455,78.5,78.092,78.15
2012-07-31,78.153,78.285,78.023,78.102
2012-08-01,78.102,78.485,77.907,78.41
2012-08-02,78.413,78.522,78.1,78.228
2012-08-03,78.228,78.755,78.054,78.45
2012-08-06,78.594,78.623,78.126,78.239
2012-08-07,78.24,78.72,78.141,78.579
2012-08-08,78.579,78.638,78.218,78.418
2012-08-09,78.418,78.771,78.277,78.571
2012-08-10,78.566,78.62,78.145,78.249
2012-08-13,78.275,78.358,78.145,78.306
2012-08-14,78.308,78.915,78.296,78.723
2012-08-15,78.721,79.028,78.576,78.953
2012-08-16,78.976,79.386,78.937,79.312
2012-08-17,79.312,79.554,79.215,79.55
2012-08-20,79.543,79.639,79.302,79.468
2012-08-21,79.465,79.503,79.205,79.27
2012-08-22,79.27,79.355,78.264,78.541
2012-08-23,78.542,78.676,78.344,78.523
2012-08-24,78.52,78.705,78.438,78.61
2012-08-27,78.65,78.823,78.616,78.739
2012-08-28,78.74,78.755,78.44,78.519
2012-08-29,78.519,78.768,78.465,78.672
2012-08-30,78.687,78.729,78.482,78.603
2012-08-31,78.602,78.621,78.173,78.38
2012-09-03,78.317,78.38,78.178,78.274
2012-09-04,78.278,78.451,78.263,78.419
2012-09-05,78.417,78.515,78.286,78.386
2012-09-06,78.388,79.013,78.363,78.858
2012-09-07,78.853,78.997,77.999,78.23
2012-09-10,78.217,78.309,78.168,78.249
2012-09-11,78.248,78.255,77.684,77.785
2012-09-12,77.773,77.947,77.722,77.827
2012-09-13,77.827,77.855,77.12,77.473
2012-09-14,77.476,78.376,77.476,78.37
2012-09-17,78.346,78.907,78.149,78.708
2012-09-18,78.708,78.848,78.47,78.758
2012-09-19,78.758,79.191,78.232,78.351
2012-09-20,78.35,78.442,78.004,78.226
2012-09-21,78.225,78.349,78.094,78.119
2012-09-24,78.115,78.145,77.787,77.832
2012-09-25,77.836,77.907,77.646,77.787
2012-09-26,77.786,77.883,77.573,77.715
2012-09-27,77.716,77.736,77.564,77.609
2012-09-28,77.608,78.089,77.42,77.872
2012-10-01,77.953,78.127,77.773,77.985
2012-10-02,77.985,78.195,77.961,78.159
2012-10-03,78.159,78.565,78.11,78.479
2012-10-04,78.477,78.698,78.287,78.475
2012-10-05,78.475,78.851,78.259,78.63
2012-10-08,78.64,78.741,78.065,78.292
2012-10-09,78.287,78.414,78.137,78.242
2012-10-10,78.242,78.353,78.108,78.129
2012-10-11,78.136,78.555,77.929,78.384
2012-10-12,78.375,78.513,78.269,78.4
2012-10-15,78.407,78.829,78.315,78.682
2012-10-16,78.675,78.945,78.673,78.849
2012-10-17,78.849,79.062,78.597,79.039
2012-10-18,79.022,79.433,78.976,79.273
2012-10-19,79.272,79.409,79.121,79.31
2012-10-22,79.266,79.946,79.198,79.915
2012-10-23,79.915,79.988,79.698,79.85
2012-10-24,79.85,79.905,79.673,79.784
2012-10-25,79.784,80.348,79.775,80.337
2012-10-26,80.336,80.359,79.483,79.622
2012-10-29,79.692,79.855,79.51,79.758
2012-10-30,79.758,80.095,79.264,79.583
2012-10-31,79.583,79.938,79.502,79.799
2012-11-01,79.8,80.186,79.792,80.148
2012-11-02,80.148,80.655,80.133,80.458
2012-11-05,80.495,80.543,80.137,80.21
2012-11-06,80.212,80.424,79.946,80.37
2012-11-07,80.37,80.379,79.743,79.93
2012-11-08,79.931,79.98,79.305,79.466
2012-11-09,79.466,79.592,79.058,79.46
2012-11-12,79.422,79.545,79.339,79.533
2012-11-13,79.533,79.622,79.193,79.413
2012-11-14,79.413,80.289,79.377,80.153
2012-11-15,80.154,81.432,80.107,81.111
2012-11-16,81.111,81.42,80.88,81.27
